2026-03-11T06:09:48.208302509Z [inf]  Starting Container
2026-03-11T06:12:15.133972485Z [inf]  Retrying request to /v1/messages in 8.000000 seconds
2026-03-11T06:12:19.480000563Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:19.480006663Z [inf]  Retrying request to /v1/messages in 3.000000 seconds
2026-03-11T06:12:22.758319683Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:12:22.758326263Z [wrn]  LLM returned non-JSON for batch 10
2026-03-11T06:12:23.015695385Z [inf]  Retrying request to /v1/messages in 6.000000 seconds
2026-03-11T06:12:23.015699985Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:23.319978758Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:23.321316414Z [inf]  Retrying request to /v1/messages in 6.000000 seconds
2026-03-11T06:12:32.112437616Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:12:32.112442896Z [wrn]  LLM returned non-JSON for batch 11
2026-03-11T06:12:32.112447546Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:32.112450946Z [inf]  Retrying request to /v1/messages in 3.000000 seconds
2026-03-11T06:12:36.714391241Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:12:36.716619944Z [wrn]  LLM returned non-JSON for batch 13
2026-03-11T06:12:37.105861945Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:37.105864935Z [inf]  Retrying request to /v1/messages in 4.000000 seconds
2026-03-11T06:12:38.553295515Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:12:38.553299675Z [wrn]  LLM returned non-JSON for batch 12
2026-03-11T06:12:38.697126420Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:38.697132980Z [inf]  Retrying request to /v1/messages in 9.000000 seconds
2026-03-11T06:12:41.062826348Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:41.062831708Z [inf]  Retrying request to /v1/messages in 6.000000 seconds
2026-03-11T06:12:44.738530907Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:12:44.738535577Z [wrn]  LLM returned non-JSON for batch 14
2026-03-11T06:12:47.141239723Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:47.141250273Z [wrn]  Rate limited (attempt 1/3), backing off 1s
2026-03-11T06:12:47.834092807Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:47.834098327Z [inf]  Retrying request to /v1/messages in 6.000000 seconds
2026-03-11T06:12:48.272120134Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 429 Too Many Requests"
2026-03-11T06:12:48.272124803Z [inf]  Retrying request to /v1/messages in 5.000000 seconds
2026-03-11T06:13:08.277614384Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:13:08.277618734Z [wrn]  LLM returned non-JSON for batch 15
2026-03-11T06:13:08.277621994Z [inf]  HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-03-11T06:13:08.277625224Z [wrn]  LLM returned non-JSON for batch 16
2026-03-11T06:13:08.277628864Z [inf]  LLM scored 85 jobs for user 4790875b-8413-42fe-a270-afaee9ee74a6, upserted 0 scores (force=False)
2026-03-11T06:13:08.277631794Z [inf]  Score jobs complete: user=4790875b-8413-42fe-a270-afaee9ee74a6, {'jobs_filtered': 86, 'jobs_scored': 85, 'scores_upserted': 0}
2026-03-11T06:13:08.279888636Z [inf]  Task completed
2026-03-11T06:14:58.486933492Z [inf]  Queue depth: score:jobs = 0
2026-03-11T06:19:59.268559153Z [inf]  Queue depth: score:jobs = 0
2026-03-11T06:24:59.081494753Z [inf]  Queue depth: score:jobs = 0
2026-03-11T06:29:59.622286748Z [inf]  Queue depth: score:jobs = 0
2026-03-11T06:34:59.499807522Z [inf]  Queue depth: score:jobs = 0
